source_kind,source_xlsx,cell_line_code,cell_line,condition_code,condition,time_point_h,label_in_xlsx,matched_filename,matched_image_id,matched_relative_path,mapping_confidence,area_pixels2,area_percent,width_pixels,standard_deviation_pixels,wound_closure_percent,replicate_count,notes
replicate_average,29.06.22/COMBİNE/H-8F-0H-0-24-48/H8F.xlsx,H,HUVEC,8F,FDI-6 8 uM,0,,,,,aggregate_no_single_image,1908851.5,,,,,2,"ORT aggregate row 4; use for trend calibration, not one-to-one image validation."
replicate_average,29.06.22/COMBİNE/H-8F-0H-0-24-48/H8F.xlsx,H,HUVEC,8F,FDI-6 8 uM,24,,,,,aggregate_no_single_image,1441423.5,24.483649007047156,,,24.483649007047156,2,"ORT aggregate row 8; use for trend calibration, not one-to-one image validation."
replicate_average,29.06.22/COMBİNE/H-8F-0H-0-24-48/H8F.xlsx,H,HUVEC,8F,FDI-6 8 uM,48,,,,,aggregate_no_single_image,1067801,49.3042118978584,,,49.3042118978584,2,"ORT aggregate row 12; use for trend calibration, not one-to-one image validation."
main_table,29.06.22/COMBİNE/H-K-0-24-48/ResultsHK.xls.xlsx,H,HUVEC,K,Control,0,,HK-0H.jpg,cytv-0260,29.06.22/COMBİNE/H-K-0-24-48/HK-0H.jpg,inferred_from_folder_timepoint,1691990,52.222,40.332,346.768,,,Primary 0/24/48 row from Excel top table.
main_table,29.06.22/COMBİNE/H-K-0-24-48/ResultsHK.xls.xlsx,H,HUVEC,K,Control,24,,HK-24H.jpg,cytv-0263,29.06.22/COMBİNE/H-K-0-24-48/HK-24H.jpg,inferred_from_folder_timepoint,926740,28.603,12.787,424.536,45.22780867499217,,Primary 0/24/48 row from Excel top table.
main_table,29.06.22/COMBİNE/H-K-0-24-48/ResultsHK.xls.xlsx,H,HUVEC,K,Control,48,HK-48H.jpg,HK-48H.jpg,cytv-0266,29.06.22/COMBİNE/H-K-0-24-48/HK-48H.jpg,explicit_label,372060,11.483,23.171,669.311,78.01050833633768,,Primary 0/24/48 row from Excel top table.
replicate_average,29.06.22/COMBİNE/H-K-0-24-48/ResultsHK.xls.xlsx,H,HUVEC,K,Control,0,,,,,aggregate_no_single_image,1767745,,,,,2,"ORT aggregate row 10; use for trend calibration, not one-to-one image validation."
replicate_average,29.06.22/COMBİNE/H-K-0-24-48/ResultsHK.xls.xlsx,H,HUVEC,K,Control,24,,,,,aggregate_no_single_image,841558,51.79827061294573,,,51.79827061294573,2,"ORT aggregate row 14; use for trend calibration, not one-to-one image validation."
replicate_average,29.06.22/COMBİNE/H-K-0-24-48/ResultsHK.xls.xlsx,H,HUVEC,K,Control,48,,,,,aggregate_no_single_image,368601.5,78.88788723235825,,,78.88788723235825,2,"ORT aggregate row 18; use for trend calibration, not one-to-one image validation."
main_table,29.06.22/COMBİNE/M-8F-0H-24-48/ResultsM8F.xls.xlsx,M,MDA-MB-231,8F,FDI-6 8 uM,0,,M8F-0H.jpg,cytv-0308,29.06.22/COMBİNE/M-8F-0H-24-48/M8F-0H.jpg,inferred_from_folder_timepoint,550026,57.271,6.911,138.032,,,Primary 0/24/48 row from Excel top table.
main_table,29.06.22/COMBİNE/M-8F-0H-24-48/ResultsM8F.xls.xlsx,M,MDA-MB-231,8F,FDI-6 8 uM,24,M8F-24H.jpg,M8F-24H.jpg,cytv-0311,29.06.22/COMBİNE/M-8F-0H-24-48/M8F-24H.jpg,explicit_label,245294,25.541,24.087,302.592,55.40319912149607,,Primary 0/24/48 row from Excel top table.
main_table,29.06.22/COMBİNE/M-8F-0H-24-48/ResultsM8F.xls.xlsx,M,MDA-MB-231,8F,FDI-6 8 uM,48,M8F-48H.jpg,M8F-48H.jpg,cytv-0314,29.06.22/COMBİNE/M-8F-0H-24-48/M8F-48H.jpg,explicit_label,301709,31.415,0.531,317.824,45.146411260558594,,Primary 0/24/48 row from Excel top table.
replicate_average,29.06.22/COMBİNE/M-8F-0H-24-48/ResultsM8F.xls.xlsx,M,MDA-MB-231,8F,FDI-6 8 uM,0,,,,,aggregate_no_single_image,1684472.5,,,,,2,"ORT aggregate row 13; use for trend calibration, not one-to-one image validation."
