sample_id,image_id,relative_path,cell_line,condition,time_point_h,campaign,in_combine_set,image_width_px,image_height_px,sample_role,imagej_area_px2,imagej_width_px,imagej_wound_closure_percent,rater_1,rater_2,measurement_status,notes
gt-001,cytv-0249,29.06.22/H-CİS-0H/IMG_2883.jpg,HUVEC,Cisplatin,0,29.06.22,False,1574,2100,primary_preprocess_required,,,,,,pending,
gt-002,cytv-0251,29.06.22/H-CİS-0H/IMG_2885.jpg,HUVEC,Cisplatin,0,29.06.22,False,4032,3024,primary_preprocess_required,,,,,,pending,
gt-003,cytv-0253,29.06.22/H-CİS-0H/IMG_2887.jpg,HUVEC,Cisplatin,0,29.06.22,False,1574,2100,primary_preprocess_required,,,,,,pending,
gt-004,cytv-0254,29.06.22/H-K-0H/IMG_2861.jpg,HUVEC,Control,0,29.06.22,False,1574,2100,primary_preprocess_required,,,,,,pending,
gt-005,cytv-0407,fdi/HUVEC/Huvec fdı6 kontrol 0h/20211221_125620.jpg,HUVEC,Control,0,fdi-huvec-2021,False,4032,3024,hard_case_candidate,,,,,,pending,
gt-006,cytv-0413,fdi/HUVEC/Huvec fdı6 kontrol 0h/20211221_125835.jpg,HUVEC,Control,0,fdi-huvec-2021,False,4032,3024,hard_case_candidate,,,,,,pending,
gt-007,cytv-0414,fdi/HUVEC/Huvec fdı 6 kontrol 24h/20211222_132330.jpg,HUVEC,Control,24,fdi-huvec-2021,False,4032,3024,hard_case_candidate,,,,,,pending,
gt-008,cytv-0421,fdi/HUVEC/Huvec fdı 6 kontrol 24h/20211222_132415.jpg,HUVEC,Control,24,fdi-huvec-2021,False,4032,3024,hard_case_candidate,,,,,,pending,
gt-009,cytv-0428,fdi/HUVEC/Huvec fdı 6 kontrol 24h/20211222_132427.jpg,HUVEC,Control,24,fdi-huvec-2021,False,4032,3024,hard_case_candidate,,,,,,pending,
gt-010,cytv-0429,fdi/HUVEC/Huvec fdı6 48h kontrol/20211223_131546.jpg,HUVEC,Control,48,fdi-huvec-2021,False,4032,3024,hard_case_candidate,,,,,,pending,
gt-011,cytv-0435,fdi/HUVEC/Huvec fdı6 48h kontrol/20211223_131606.jpg,HUVEC,Control,48,fdi-huvec-2021,False,4032,3024,hard_case_candidate,,,,,,pending,
gt-012,cytv-0442,fdi/HUVEC/Huvec fdı6 48h kontrol/20211223_131719.jpg,HUVEC,Control,48,fdi-huvec-2021,False,4032,3024,hard_case_candidate,,,,,,pending,
gt-013,cytv-0258,29.06.22/COMBİNE/H-K-0-24-48/HK-0H-2.jpg,HUVEC,Control,multi,29.06.22,True,1800,1800,primary_clean_crop,,,,,,pending,
gt-014,cytv-0266,29.06.22/COMBİNE/H-K-0-24-48/HK-48H.jpg,HUVEC,Control,multi,29.06.22,True,1800,1800,primary_clean_crop,372060,23.171,78.01050833633768,,,seeded_from_combine_excel,Seeded from 29.06.22/COMBİNE/H-K-0-24-48/ResultsHK.xls.xlsx (explicit_label); use=primary_one_to_one
gt-015,cytv-0275,29.06.22/COMBİNE/H-K-0-24-48/IMG_3033.jpg,HUVEC,Control,multi,29.06.22,True,4032,3024,primary_curated_preprocess,,,,,,pending,
gt-016,cytv-0351,fdi/HUVEC/Huvec fdı 6 24 h/20211222_132757.jpg,HUVEC,FDI-6,24,fdi-huvec-2021,False,4032,3024,hard_case_candidate,,,,,,pending,
gt-017,cytv-0371,fdi/HUVEC/Huvec fdı 6 24 h/20211222_133202.jpg,HUVEC,FDI-6,24,fdi-huvec-2021,False,4032,3024,hard_case_candidate,,,,,,pending,
gt-018,cytv-0392,fdi/HUVEC/Huvec fdı 6 24 h/20211222_133325.jpg,HUVEC,FDI-6,24,fdi-huvec-2021,False,4032,3024,hard_case_candidate,,,,,,pending,
gt-019,cytv-0393,fdi/HUVEC/Huvec fdı6 48h/20211223_131759.jpg,HUVEC,FDI-6,48,fdi-huvec-2021,False,4032,3024,hard_case_candidate,,,,,,pending,
gt-020,cytv-0399,fdi/HUVEC/Huvec fdı6 48h/20211223_131809.jpg,HUVEC,FDI-6,48,fdi-huvec-2021,False,4032,3024,hard_case_candidate,,,,,,pending,
